text,label,pattern_type,source
"Product price: ₹1,299",0,Normal,Legitimate E-Commerce
Delivery available tomorrow with standard shipping.,0,Normal,Legitimate E-Commerce
"Choose your preferred payment method: UPI, Card, NetBanking.",0,Normal,Legitimate E-Commerce
"100% cotton fabric, machine wash cold with similar colors.",0,Normal,Legitimate E-Commerce
Free returns within 30 days of receipt in original packaging.,0,Normal,Legitimate E-Commerce
"Package includes 1 laptop charger, 1 USB-C cable, and user manual.",0,Normal,Legitimate E-Commerce
"Dimensions: 15.6 inch display, weight: 1.8 kg.",0,Normal,Legitimate E-Commerce
Customer reviews: 4.3 out of 5 stars based on 452 ratings.,0,Normal,Legitimate E-Commerce
"Select shoe size: UK 7, UK 8, UK 9, UK 10.",0,Normal,Legitimate E-Commerce
Eligible for standard manufacturer warranty of 1 year.,0,Normal,Legitimate E-Commerce
"Subtotal: ₹2,499. Taxes calculated at checkout according to local law.",0,Normal,Legitimate E-Commerce
Add gift message to recipient at no additional cost.,0,Normal,Legitimate E-Commerce
Secure 256-bit SSL encrypted checkout.,0,Normal,Legitimate E-Commerce
Standard ground delivery takes 3-5 business days.,0,Normal,Legitimate E-Commerce
In stock and ready to ship from our regional warehouse.,0,Normal,Legitimate E-Commerce
"Available in 3 color options: Midnight Black, Pearl White, Navy Blue.",0,Normal,Legitimate E-Commerce
Battery life up to 12 hours on a single charge.,0,Normal,Legitimate E-Commerce
Questions? Read our FAQ or contact customer support.,0,Normal,Legitimate E-Commerce
Compatible with iOS and Android devices via Bluetooth 5.2.,0,Normal,Legitimate E-Commerce
Store pickup available at your nearest branch.,0,Normal,Legitimate E-Commerce
Product code: SKU-894125.,0,Normal,Legitimate E-Commerce
All prices are inclusive of applicable GST.,0,Normal,Legitimate E-Commerce
Add to wishlist to save for later viewing.,0,Normal,Legitimate E-Commerce
Order confirmed! Tracking details sent to your registered email.,0,Normal,Legitimate E-Commerce
Check delivery estimate for your pincode.,0,Normal,Legitimate E-Commerce
Hurry! Sale ends in 05:00 minutes!,1,Fake Urgency,Princeton Study
Only 02:45 minutes left before your cart is cleared!,1,Fake Urgency,Princeton Study
Offer expires in 10 minutes. Complete order now!,1,Fake Urgency,FTC Guidelines
Deal ends in 00:04:12!,1,Fake Urgency,Princeton Study
Flash sale! Prices go up in 30 minutes!,1,Fake Urgency,Synthetic E-Commerce
Order within 15 mins to lock in this special price!,1,Fake Urgency,E-Commerce Corpus
Clock is ticking! 03:22 remaining to claim discount!,1,Fake Urgency,Princeton Study
Hurry! Price increases after timer reaches zero.,1,Fake Urgency,FTC Guidelines
Limited time deal: expires in 08:30!,1,Fake Urgency,Synthetic E-Commerce
Your reserved discount expires in 01:59!,1,Fake Urgency,Princeton Study
Final countdown! Offer closes in 12 minutes!,1,Fake Urgency,Synthetic E-Commerce
Only 1 left in stock - order soon!,2,Scarcity,Princeton Study
